from,https://tools.miku.ac/cpu_rank/,https://tools-api-cn.hazymoon.vip/cpu_rank,,
,name,score,percentage,
1,AMD EPYC 7763,87767,100,
2,AMD Ryzen Threadripper PRO 3995WX,86249,98,
3,AMD EPYC 7J13,86006,98,
4,AMD EPYC 7713,85947,98,
5,AMD Ryzen Threadripper 3990X,81022,92,
6,AMD EPYC 7B13,77460,88,
7,AMD EPYC 7643,76896,88,
8,AMD EPYC 7543P 32-Core,72370,82,
9,AMD EPYC 7702,71677,82,
10,AMD EPYC 7662,71576,82,
11,AMD EPYC 7742,69786,80,
12,AMD EPYC 7543P,67733,77,
13,AMD EPYC 7R32,64264,73,
14,AMD Ryzen Threadripper 3970X,63947,73,
15,AMD Ryzen Threadripper PRO 3975WX,63214,72,
16,Intel Xeon Platinum 8380 @ 2.30GHz,62317,71,
17,AMD EPYC 74F3,60948,69,
18,AMD EPYC 7702P,58119,66,
19,AMD EPYC 7443P,58026,66,
20,Intel Xeon Platinum 8358 @ 2.60GHz,57007,65,
21,AMD EPYC 7542,56809,65,
22,AMD EPYC 7513,56009,64,
23,AMD Ryzen Threadripper 3960X,55080,63,
24,Intel Xeon Gold 6348 @ 2.60GHz,53112,61,
25,AMD EPYC 7502,49177,56,
26,Intel Xeon Gold 6342 @ 2.80GHz,48330,55,
27,AMD EPYC 7413,47603,54,
28,AMD EPYC 7502P,47070,54,
29,AMD Ryzen 9 5950X,46144,53,
30,AMD EPYC 73F3,45924,52,
31,AMD EPYC 7343,45882,52,
32,AMD EPYC 7402,45684,52,
33,Intel Xeon Gold 6336Y @ 2.40GHz,45517,52,
34,Intel Xeon Gold 6312U @ 2.40GHz,43745,50,
35,Intel Xeon Gold 6330 @ 2.00GHz,43056,49,
36,AMD EPYC 7452,41871,48,
37,AMD EPYC 7352,41711,48,
38,Intel Xeon W-3275M @ 2.50GHz,41582,47,
39,Intel Core i9-12900KF,41353,47,
40,AMD EPYC 7402P,41071,47,
41,AMD EPYC 7F52,40468,46,
42,AMD Ryzen Threadripper PRO 3955WX,40273,46,
43,Intel Xeon W-3265M @ 2.70GHz,39765,45,
44,AMD Ryzen 9 5900X,39517,45,
45,AMD Ryzen 9 3950X,39173,45,
46,Intel Xeon Gold 6248R @ 3.00GHz,38604,44,
47,AMD EPYC 7313P,38537,44,
48,Intel Core i9-12900K,37890,43,
49,ARM Neoverse-N1 80 Core 0 MHz,37809,43,
50,Intel Xeon Platinum 8280 @ 2.70GHz,37575,43,
51,Intel Xeon Silver 4316 @ 2.30GHz,37264,42,
52,ARM Neoverse-N1 80 Core 3000 MHz,37221,42,
53,Intel Xeon W-3175X @ 3.10GHz,36360,41,
54,AMD EPYC 7313,35832,41,
55,Intel Xeon Gold 6242R @ 3.10GHz,35505,40,
56,AMD Ryzen 9 5900,35329,40,
57,Intel Xeon Platinum 8260M @ 2.30GHz,33970,39,
58,AMD Ryzen Threadripper PRO 3945WX,33735,38,
59,Intel Core i9-10980XE @ 3.00GHz,33733,38,
60,Intel Xeon Platinum 8168 @ 2.70GHz,33503,38,
61,Intel Xeon Gold 5220R @ 2.20GHz,33218,38,
62,AMD EPYC 7302,33015,38,
63,AMD Ryzen 9 3900XT,32899,37,
64,AMD Ryzen 9 3900X,32803,37,
65,AMD Ryzen Threadripper 2990WX,32507,37,
66,AMD EPYC 7302P,32480,37,
67,Intel Xeon Gold 6252 @ 2.10GHz,32410,37,
68,Intel Core i9-9980XE @ 3.00GHz,32072,37,
69,AMD EPYC 7401P,31767,36,
70,Intel Xeon W-2295 @ 3.00GHz,31602,36,
71,AMD EPYC 7282,31510,36,
72,Intel Xeon Platinum 8259CL @ 2.50GHz,31500,36,
73,AMD Ryzen 9 PRO 3900,31484,36,
74,Intel Xeon Gold 6248 @ 2.50GHz,31285,36,
75,Intel Core i9-9960X @ 3.10GHz,31206,36,
76,AMD EPYC 7371,31094,35,
77,AMD Ryzen 9 3900,30896,35,
78,Intel Xeon Silver 4314 @ 2.40GHz,30806,35,
79,Intel Xeon Gold 5317 @ 3.00GHz,30555,35,
80,Intel Xeon Gold 6230R @ 2.10GHz,30391,35,
81,Intel Xeon W-3245 @ 3.20GHz,30246,34,
82,Intel Core i9-9990XE @ 4.00GHz,30162,34,
83,Intel Xeon Gold 6246R @ 3.40GHz,30145,34,
84,Intel Xeon W-3265 @ 2.70GHz,30105,34,
85,Intel Xeon Platinum 8268 @ 2.90GHz,30103,34,
86,Intel Core i7-12700K,30044,34,
87,Intel Core i7-12700KF,29913,34,
88,AMD Ryzen Threadripper 2950X,29728,34,
89,Intel Core i9-7980XE @ 2.60GHz,29624,34,
90,AMD Ryzen Threadripper 2970WX,29394,33,
91,Intel Xeon Gold 6254 @ 3.10GHz,29356,33,
92,Intel Xeon W-2191B @ 2.30GHz,28975,33,
93,Intel Xeon Gold 6210U @ 2.50GHz,28915,33,
94,Intel Core i9-10940X @ 3.30GHz,28778,33,
95,Intel Core i9-9940X @ 3.30GHz,28486,32,
96,AMD Ryzen 7 5800X,28477,32,
97,Intel Xeon W-2275 @ 3.30GHz,27791,32,
98,Intel Xeon Gold 6238 @ 2.10GHz,27617,31,
99,Intel Xeon Gold 6212U @ 2.40GHz,27470,31,
100,AMD EPYC 7571,27445,31,
101,Intel Xeon Platinum 8173M @ 2.00GHz,27377,31,
102,Intel Xeon W-2195 @ 2.30GHz,27325,31,
103,AMD Ryzen Threadripper 1950X,27312,31,
104,Intel Xeon Gold 6208U @ 2.90GHz,26901,31,
105,Intel Xeon Platinum 8369HC @ 3.30GHz,26893,31,
106,Intel Core i9-7940X @ 3.10GHz,26679,30,
107,Intel Xeon Platinum 8175M @ 2.50GHz,26659,30,
108,Intel Xeon Gold 6230 @ 2.10GHz,26657,30,
109,Intel Core i9-10920X @ 3.50GHz,26631,30,
110,Intel Core i9-7960X @ 2.80GHz,26629,30,
111,Intel Xeon Platinum 8160 @ 2.10GHz,26485,30,
112,AMD Ryzen Threadripper 2990X,26469,30,
113,AMD EPYC 7272,26446,30,
114,Intel Xeon Gold 6154 @ 3.00GHz,26298,30,
115,Intel Xeon Gold 6242 @ 2.80GHz,26288,30,
116,Intel Xeon W-2265 @ 3.50GHz,26066,30,
117,AMD Ryzen 7 5800,25958,30,
118,AMD EPYC 7551P,25933,30,
119,Intel Xeon W-3323 @ 3.50GHz,25875,29,
120,Intel Xeon W-3235 @ 3.30GHz,25853,29,
121,Intel Xeon E-2388G @ 3.20GHz,25777,29,
122,Intel Xeon W-1390P @ 3.50GHz,25745,29,
123,Intel Xeon Gold 5220 @ 2.20GHz,25740,29,
124,Intel Xeon Gold 6226R @ 2.90GHz,25665,29,
125,Intel Core i9-11900KF @ 3.50GHz,25642,29,
126,Intel Core i9-11900K @ 3.50GHz,25610,29,
127,AMD Ryzen Threadripper 2920X,25536,29,
128,AMD Ryzen 7 PRO 5750G,25441,29,
129,Intel Xeon Platinum 8167M @ 2.00GHz,25396,29,
130,Intel Core i9-9920X @ 3.50GHz,25350,29,
131,Intel Core i7-11700B @ 3.20GHz,25213,29,
132,Intel Xeon W-1370P @ 3.60GHz,25202,29,
133,Intel Xeon Gold 5218R @ 2.10GHz,25191,29,
134,Intel Xeon W-1370 @ 2.90GHz,25163,29,
135,Intel Core i7-11700K @ 3.60GHz,25143,29,
136,Intel Xeon W-2170B @ 2.50GHz,25065,29,
137,AMD EPYC 7501,24925,28,
138,Intel Xeon Gold 6138T @ 2.00GHz,24800,28,
139,AMD Ryzen 7 5700G,24795,28,
140,Intel Xeon Gold 6143 @ 2.80GHz,24786,28,
141,Intel Core i7-11700KF @ 3.60GHz,24566,28,
142,Intel Core i9-11900KB @ 3.30GHz,24537,28,
143,11th Gen Intel Core i9-11900KB @ 3.30GHz,24523,28,
