from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
1,GeForce RTX 3080 Ti,26658,100
2,GeForce RTX 3090,26005,98
3,Radeon RX 6900 XT,25386,95
4,GeForce RTX 3080,24517,92
5,RTX A5000,23740,89
6,RTX A6000,23092,87
7,Radeon RX 6800 XT,23020,86
8,GeForce RTX 3070 Ti,22659,85
9,GeForce RTX 3070,21922,82
10,GeForce RTX 2080 Ti,21718,81
11,Radeon RX 6800,20772,78
12,RX6800 XT,20392,76
13,Quadro RTX 6000,19862,75
14,TITAN RTX,19851,74
15,GeForce RTX 3060 Ti,19709,74
16,Quadro RTX 8000,19609,74
17,GeForce RTX 2080 SUPER,19497,73
18,RTX A4000,19175,72
19,TITAN Xp,19107,72
20,Radeon PRO W6800,18968,71
21,TITAN V,18851,71
22,Radeon RX 6700 XT,18830,71
23,RTX A5000 Laptop GPU,18661,70
24,GeForce RTX 2080,18588,70
25,TITAN Xp COLLECTORS EDITION,18303,69
26,NVIDIA TITAN Xp,18280,69
27,GeForce RTX 2070 SUPER,18161,68
28,GeForce GTX 1080 Ti,18074,68
29,TITAN V JHH Special Edition,16988,64
30,TITAN V CEO Edition,16988,64
31,Radeon Pro VII,16853,63
32,Radeon RX 5700 XT,16847,63
33,Radeon VII,16739,63
34,Radeon RX 5700 XT 50th Anniversary,16683,63
35,GeForce RTX 3060,16616,62
36,GeForce RTX 3080 Laptop GPU,16471,62
37,GeForce RTX 2060 SUPER,16438,62
38,Quadro RTX 5000,16394,61
39,Tesla V100-SXM2-16GB,16235,61
40,RTX A4000 Laptop GPU,16198,61
41,GeForce RTX 2070,16091,60
42,Quadro RTX 4000,15625,59
43,Quadro P6000,15619,59
44,Quadro GP100,15549,58
45,Radeon RX 6600 XT,15543,58
46,GeForce GTX 1080,15174,57
47,Radeon Pro W5700,15108,57
48,GeForce RTX 2080 (Mobile),15107,57
49,Quadro RTX 5000 (Mobile),14832,56
50,Radeon Pro Vega II,14738,55
51,Radeon RX 5700,14709,55
52,RX 6800 XT,14683,55
53,Radeon RX Vega 64,14657,55
54,Radeon Pro Vega 64X,14630,55
55,GeForce RTX 3070 Laptop GPU,14627,55
56,GeForce RTX 2070 Super with Max-Q Design,14531,55
57,RTX A3000 Laptop GPU,14420,54
58,GeForce GTX 1070 Ti,14360,54
59,Radeon RX 5700XT,14255,53
60,Radeon PRO W6600,14087,53
61,Radeon RX 6700M,14062,53
62,Radeon PRO WX 8200,14039,53
63,Quadro RTX 5000 with Max-Q Design,14036,53
64,GeForce RTX 2080 Super with Max-Q Design,13959,52
65,GeForce GTX 980 Ti,13889,52
66,GeForce RTX 2060,13877,52
67,Radeon Vega Frontier Edition,13876,52
68,Radeon RX 5600 XT,13792,52
69,NVIDIA TITAN X,13660,51
